freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.884e+01,5.952e+01,6.759e+02,7.742e+02
1.5,1.297e+02,1.453e+02,4.203e+02,6.953e+02
3.0,1.461e+02,1.493e+02,6.914e+01,3.645e+02
4.6,1.384e+02,1.427e+02,3.935e+02,6.746e+02
6.1,1.146e+02,1.413e+02,1.362e+03,1.618e+03
7.6,1.259e+02,1.602e+02,2.250e+03,2.536e+03
9.1,1.203e+02,1.414e+02,3.103e+03,3.365e+03
10.7,1.239e+02,1.355e+02,3.801e+03,4.060e+03
12.2,1.321e+02,1.255e+02,4.947e+03,5.204e+03
13.7,1.123e+02,1.289e+02,6.296e+03,6.538e+03
15.2,1.118e+02,1.427e+02,8.034e+03,8.289e+03
16.8,1.121e+02,1.622e+02,1.036e+04,1.063e+04
18.3,1.075e+02,1.662e+02,1.357e+04,1.385e+04
19.8,1.031e+02,1.619e+02,1.635e+04,1.661e+04
21.3,1.090e+02,1.960e+02,1.837e+04,1.867e+04
22.9,1.095e+02,2.196e+02,2.160e+04,2.193e+04
24.4,1.256e+02,2.395e+02,2.492e+04,2.529e+04
25.9,1.063e+02,2.791e+02,2.883e+04,2.921e+04
27.4,9.626e+01,3.670e+02,3.337e+04,3.384e+04
29.0,1.061e+02,4.192e+02,3.831e+04,3.884e+04
30.5,1.123e+02,5.035e+02,4.415e+04,4.476e+04
32.0,1.467e+02,6.883e+02,5.144e+04,5.227e+04
33.5,2.022e+02,9.498e+02,6.094e+04,6.209e+04
35.1,2.505e+02,1.200e+03,7.220e+04,7.365e+04
36.6,3.008e+02,1.424e+03,8.448e+04,8.621e+04
38.1,4.007e+02,1.916e+03,9.921e+04,1.015e+05
39.6,5.076e+02,2.602e+03,1.164e+05,1.195e+05
41.2,6.081e+02,3.366e+03,1.363e+05,1.402e+05
42.7,8.156e+02,4.432e+03,1.617e+05,1.670e+05
44.2,1.056e+03,5.906e+03,1.959e+05,2.029e+05
45.7,1.341e+03,9.444e+03,2.436e+05,2.544e+05
47.3,1.822e+03,1.646e+04,3.099e+05,3.282e+05
48.8,2.537e+03,2.356e+04,3.947e+05,4.208e+05
50.3,3.270e+03,2.685e+04,4.983e+05,5.285e+05
51.8,4.033e+03,2.748e+04,6.437e+05,6.753e+05
53.4,5.654e+03,3.040e+04,8.766e+05,9.127e+05
54.9,9.878e+03,4.105e+04,1.286e+06,1.337e+06
56.4,2.181e+04,6.640e+04,2.032e+06,2.120e+06
57.9,4.730e+04,1.106e+05,3.142e+06,3.300e+06
59.5,7.825e+04,1.627e+05,3.847e+06,4.088e+06
61.0,1.129e+05,2.101e+05,3.480e+06,3.803e+06
62.5,1.245e+05,2.223e+05,2.584e+06,2.931e+06
64.0,9.438e+04,1.775e+05,1.770e+06,2.042e+06
65.6,6.217e+04,1.215e+05,1.213e+06,1.397e+06
67.1,3.475e+04,7.575e+04,8.079e+05,9.184e+05
68.6,1.646e+04,5.133e+04,5.096e+05,5.774e+05
70.1,1.214e+04,4.773e+04,3.456e+05,4.055e+05
71.7,1.365e+04,4.984e+04,2.827e+05,3.462e+05
73.2,1.210e+04,4.708e+04,2.384e+05,2.976e+05
74.7,1.034e+04,4.278e+04,1.903e+05,2.434e+05
76.2,8.949e+03,3.768e+04,1.617e+05,2.084e+05
77.8,6.212e+03,2.576e+04,1.274e+05,1.594e+05
79.3,5.089e+03,1.890e+04,1.009e+05,1.249e+05
80.8,5.835e+03,1.835e+04,7.919e+04,1.034e+05
82.3,7.662e+03,2.024e+04,6.316e+04,9.106e+04
83.9,9.614e+03,2.275e+04,5.287e+04,8.523e+04
85.4,1.077e+04,2.387e+04,4.356e+04,7.821e+04
86.9,9.648e+03,1.914e+04,2.973e+04,5.851e+04
88.4,7.593e+03,1.347e+04,1.985e+04,4.092e+04
90.0,6.936e+03,9.946e+03,1.665e+04,3.353e+04
91.5,7.336e+03,7.927e+03,8.951e+03,2.421e+04
93.0,6.282e+03,6.265e+03,6.716e+03,1.926e+04
94.5,4.887e+03,6.496e+03,6.019e+03,1.740e+04
96.1,4.536e+03,7.635e+03,4.850e+03,1.702e+04
97.6,3.988e+03,5.257e+03,4.150e+03,1.339e+04
