freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.661e+01,3.844e+02,2.726e+01,4.482e+02
1.5,4.351e+01,2.455e+02,6.174e+01,3.508e+02
3.0,3.030e+01,3.905e+01,6.120e+01,1.306e+02
4.6,3.246e+01,3.375e+02,6.538e+01,4.354e+02
6.1,3.257e+01,1.317e+03,6.676e+01,1.416e+03
7.6,3.356e+01,2.326e+03,6.525e+01,2.425e+03
9.1,3.259e+01,3.519e+03,7.483e+01,3.626e+03
10.7,3.525e+01,4.187e+03,9.388e+01,4.316e+03
12.2,4.077e+01,4.509e+03,7.293e+01,4.623e+03
13.7,4.411e+01,6.210e+03,6.445e+01,6.319e+03
15.2,4.457e+01,8.544e+03,7.109e+01,8.660e+03
16.8,4.588e+01,1.106e+04,7.886e+01,1.118e+04
18.3,5.048e+01,1.410e+04,7.468e+01,1.422e+04
19.8,5.702e+01,1.795e+04,6.816e+01,1.807e+04
21.3,6.204e+01,2.274e+04,8.229e+01,2.288e+04
22.9,5.139e+01,2.847e+04,8.925e+01,2.861e+04
24.4,4.451e+01,3.554e+04,1.090e+02,3.569e+04
25.9,5.041e+01,4.363e+04,1.236e+02,4.381e+04
27.4,6.437e+01,5.227e+04,1.221e+02,5.246e+04
29.0,1.019e+02,6.308e+04,9.911e+01,6.328e+04
30.5,1.570e+02,7.970e+04,7.627e+01,7.994e+04
32.0,2.781e+02,1.056e+05,6.873e+01,1.060e+05
33.5,5.663e+02,1.454e+05,6.556e+01,1.461e+05
35.1,1.227e+03,2.108e+05,9.756e+01,2.121e+05
36.6,3.823e+03,3.437e+05,6.447e+02,3.482e+05
38.1,1.607e+04,6.922e+05,5.735e+03,7.140e+05
39.6,3.837e+04,1.264e+06,2.165e+04,1.324e+06
41.2,5.511e+04,1.371e+06,2.668e+04,1.453e+06
42.7,6.420e+04,1.049e+06,1.734e+04,1.131e+06
44.2,6.771e+04,6.881e+05,9.204e+03,7.650e+05
45.7,6.680e+04,4.338e+05,5.982e+03,5.066e+05
47.3,6.001e+04,2.871e+05,6.380e+03,3.535e+05
48.8,5.176e+04,1.943e+05,6.279e+03,2.523e+05
50.3,4.756e+04,1.304e+05,7.048e+03,1.850e+05
51.8,4.329e+04,9.488e+04,9.765e+03,1.479e+05
53.4,3.039e+04,7.505e+04,1.404e+04,1.195e+05
54.9,1.882e+04,7.047e+04,1.788e+04,1.072e+05
56.4,2.631e+04,5.179e+04,2.041e+04,9.852e+04
57.9,4.020e+04,3.393e+04,2.703e+04,1.012e+05
59.5,5.387e+04,4.030e+04,4.286e+04,1.370e+05
61.0,5.775e+04,3.599e+04,5.005e+04,1.438e+05
