freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.778e+01,1.150e+02,7.173e+02,9.301e+02
1.5,3.875e+02,2.471e+02,6.541e+02,1.289e+03
3.0,4.173e+02,2.390e+02,2.505e+02,9.068e+02
4.5,5.586e+02,2.979e+02,5.707e+02,1.427e+03
6.0,5.701e+02,3.471e+02,1.585e+03,2.502e+03
7.5,5.716e+02,3.439e+02,2.497e+03,3.413e+03
9.0,7.792e+02,4.231e+02,3.619e+03,4.821e+03
10.5,8.612e+02,4.488e+02,4.312e+03,5.622e+03
12.0,8.205e+02,3.518e+02,5.283e+03,6.455e+03
13.5,7.105e+02,3.034e+02,7.007e+03,8.021e+03
15.0,6.887e+02,2.863e+02,9.134e+03,1.011e+04
16.5,5.954e+02,2.595e+02,1.194e+04,1.279e+04
18.0,6.021e+02,2.755e+02,1.521e+04,1.609e+04
19.5,6.472e+02,2.807e+02,1.711e+04,1.804e+04
21.0,7.109e+02,2.871e+02,1.935e+04,2.035e+04
22.4,7.305e+02,4.111e+02,2.411e+04,2.525e+04
23.9,7.948e+02,4.052e+02,2.878e+04,2.998e+04
25.4,1.086e+03,4.011e+02,3.323e+04,3.472e+04
26.9,8.423e+02,5.088e+02,3.821e+04,3.956e+04
28.4,7.838e+02,5.727e+02,4.578e+04,4.714e+04
29.9,8.679e+02,7.934e+02,5.545e+04,5.711e+04
31.4,9.382e+02,1.004e+03,6.789e+04,6.983e+04
32.9,9.480e+02,1.400e+03,8.406e+04,8.640e+04
34.4,9.468e+02,1.967e+03,1.029e+05,1.058e+05
35.9,1.725e+03,2.518e+03,1.262e+05,1.304e+05
37.4,3.548e+03,3.833e+03,1.570e+05,1.644e+05
38.9,5.585e+03,6.460e+03,1.982e+05,2.102e+05
40.4,6.805e+03,1.130e+04,2.555e+05,2.736e+05
41.9,8.017e+03,1.831e+04,3.384e+05,3.647e+05
43.4,1.018e+04,2.571e+04,4.568e+05,4.927e+05
44.9,1.190e+04,3.438e+04,6.663e+05,7.126e+05
46.4,1.354e+04,4.353e+04,1.029e+06,1.086e+06
47.9,1.564e+04,5.935e+04,1.620e+06,1.695e+06
49.4,2.318e+04,9.710e+04,2.502e+06,2.622e+06
50.9,2.805e+04,1.295e+05,3.241e+06,3.398e+06
52.4,2.732e+04,1.334e+05,3.091e+06,3.251e+06
53.9,2.665e+04,1.071e+05,2.207e+06,2.341e+06
55.4,2.475e+04,7.618e+04,1.365e+06,1.466e+06
56.9,2.278e+04,5.645e+04,8.326e+05,9.119e+05
58.4,2.207e+04,4.491e+04,5.060e+05,5.730e+05
59.9,2.000e+04,3.644e+04,2.964e+05,3.528e+05
61.4,1.903e+04,3.151e+04,1.779e+05,2.284e+05
62.9,2.002e+04,3.016e+04,1.118e+05,1.620e+05
64.4,2.075e+04,2.771e+04,7.188e+04,1.203e+05
65.9,2.040e+04,2.426e+04,4.430e+04,8.896e+04
67.3,2.097e+04,2.255e+04,2.867e+04,7.218e+04
68.8,2.142e+04,2.089e+04,1.856e+04,6.088e+04
70.3,2.114e+04,1.817e+04,1.215e+04,5.145e+04
71.8,2.123e+04,1.730e+04,9.391e+03,4.792e+04
73.3,2.111e+04,1.925e+04,9.307e+03,4.967e+04
74.8,2.200e+04,2.641e+04,1.035e+04,5.876e+04
76.3,2.242e+04,3.617e+04,1.087e+04,6.946e+04
77.8,2.013e+04,4.502e+04,1.034e+04,7.549e+04
79.3,1.730e+04,5.032e+04,1.090e+04,7.851e+04
80.8,1.665e+04,5.404e+04,1.167e+04,8.236e+04
82.3,1.822e+04,5.170e+04,1.259e+04,8.251e+04
83.8,1.949e+04,4.699e+04,1.386e+04,8.034e+04
85.3,2.037e+04,3.947e+04,1.598e+04,7.581e+04
86.8,1.868e+04,3.131e+04,1.727e+04,6.725e+04
88.3,1.348e+04,1.862e+04,1.562e+04,4.772e+04
89.8,8.366e+03,1.111e+04,1.220e+04,3.168e+04
91.3,6.886e+03,1.420e+04,1.317e+04,3.426e+04
92.8,7.028e+03,1.892e+04,1.605e+04,4.199e+04
94.3,9.964e+03,2.311e+04,2.164e+04,5.471e+04
95.8,1.461e+04,2.288e+04,3.001e+04,6.749e+04
97.3,2.088e+04,2.561e+04,4.022e+04,8.672e+04
98.8,2.761e+04,2.747e+04,5.308e+04,1.082e+05
100.3,3.249e+04,2.510e+04,6.605e+04,1.236e+05
101.8,4.197e+04,3.633e+04,8.519e+04,1.635e+05
103.3,5.568e+04,5.123e+04,1.099e+05,2.168e+05
104.8,7.141e+04,6.857e+04,1.398e+05,2.798e+05
106.3,6.633e+04,6.551e+04,1.357e+05,2.675e+05
107.8,7.287e+04,6.921e+04,1.519e+05,2.940e+05
109.3,8.630e+04,8.345e+04,1.742e+05,3.440e+05
110.7,1.317e+05,1.514e+05,2.466e+05,5.297e+05
112.2,1.761e+05,2.338e+05,3.099e+05,7.198e+05
113.7,2.059e+05,3.007e+05,3.563e+05,8.629e+05
115.2,2.245e+05,3.773e+05,3.889e+05,9.907e+05
116.7,2.586e+05,4.822e+05,4.489e+05,1.190e+06
118.2,3.368e+05,5.651e+05,6.104e+05,1.512e+06
119.7,4.222e+05,5.735e+05,8.053e+05,1.801e+06
121.2,5.350e+05,6.296e+05,1.058e+06,2.222e+06
122.7,3.835e+05,3.989e+05,7.755e+05,1.558e+06
124.2,4.704e+05,4.375e+05,9.806e+05,1.888e+06
125.7,3.856e+05,3.361e+05,8.437e+05,1.565e+06
127.2,5.259e+05,4.527e+05,1.181e+06,2.160e+06
128.7,7.854e+05,6.705e+05,1.818e+06,3.274e+06
130.2,7.346e+05,6.231e+05,1.730e+06,3.088e+06
131.7,1.690e+05,1.390e+05,3.890e+05,6.969e+05
133.2,9.842e+04,7.618e+04,2.192e+05,3.938e+05
134.7,9.380e+04,6.564e+04,2.037e+05,3.631e+05
136.2,1.055e+05,6.837e+04,2.233e+05,3.972e+05
137.7,1.156e+05,6.977e+04,2.372e+05,4.226e+05
139.2,1.306e+05,7.537e+04,2.608e+05,4.667e+05
140.7,1.536e+05,8.533e+04,3.052e+05,5.442e+05
142.2,1.676e+05,9.116e+04,3.350e+05,5.938e+05
143.7,1.923e+05,1.022e+05,3.864e+05,6.809e+05
145.2,2.074e+05,1.086e+05,4.254e+05,7.413e+05
146.7,1.997e+05,1.037e+05,4.219e+05,7.254e+05
148.2,1.903e+05,1.011e+05,4.067e+05,6.981e+05
149.7,1.800e+05,9.941e+04,3.836e+05,6.630e+05
151.2,1.605e+05,8.753e+04,3.450e+05,5.930e+05
152.7,1.353e+05,6.926e+04,2.930e+05,4.975e+05
154.1,9.818e+04,4.781e+04,2.103e+05,3.563e+05
155.6,6.975e+04,3.308e+04,1.427e+05,2.455e+05
157.1,5.491e+04,2.472e+04,1.045e+05,1.841e+05
158.6,4.560e+04,2.154e+04,8.498e+04,1.521e+05
160.1,4.139e+04,2.154e+04,7.557e+04,1.385e+05
161.6,3.882e+04,2.152e+04,7.362e+04,1.340e+05
163.1,3.639e+04,2.061e+04,7.101e+04,1.280e+05
164.6,3.247e+04,1.955e+04,6.573e+04,1.177e+05
166.1,2.851e+04,1.780e+04,6.030e+04,1.066e+05
167.6,2.567e+04,1.648e+04,5.747e+04,9.962e+04
169.1,2.245e+04,1.483e+04,5.090e+04,8.819e+04
170.6,1.993e+04,1.299e+04,4.501e+04,7.793e+04
172.1,1.814e+04,1.138e+04,4.038e+04,6.990e+04
173.6,1.692e+04,1.052e+04,3.715e+04,6.458e+04
175.1,1.543e+04,9.835e+03,3.382e+04,5.909e+04
176.6,1.480e+04,8.603e+03,3.083e+04,5.423e+04
