freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.022e+01,4.772e+02,8.010e+02,1.318e+03
1.5,1.113e+02,3.606e+02,4.928e+02,9.647e+02
3.0,1.363e+02,1.272e+02,6.367e+01,3.272e+02
4.6,2.472e+02,1.035e+02,3.944e+02,7.450e+02
6.1,1.322e+03,1.441e+02,1.448e+03,2.915e+03
7.6,4.617e+03,1.791e+02,2.561e+03,7.356e+03
9.1,2.687e+03,1.611e+02,3.954e+03,6.802e+03
10.6,1.927e+03,1.845e+02,5.532e+03,7.643e+03
12.1,1.613e+03,1.791e+02,5.811e+03,7.603e+03
13.7,8.559e+02,1.813e+02,6.464e+03,7.501e+03
15.2,4.374e+02,1.632e+02,8.752e+03,9.353e+03
16.7,5.168e+02,2.259e+02,1.197e+04,1.271e+04
18.2,3.874e+02,2.187e+02,1.592e+04,1.653e+04
19.7,1.890e+02,1.599e+02,2.117e+04,2.152e+04
21.2,1.885e+02,1.332e+02,2.739e+04,2.771e+04
22.8,1.420e+02,1.517e+02,3.521e+04,3.551e+04
24.3,1.481e+02,2.910e+02,4.674e+04,4.718e+04
25.8,2.562e+02,5.541e+02,6.265e+04,6.346e+04
27.3,2.774e+02,1.008e+03,8.331e+04,8.460e+04
28.8,3.864e+02,1.949e+03,1.095e+05,1.118e+05
30.3,5.599e+02,4.106e+03,1.497e+05,1.544e+05
31.9,4.292e+02,8.905e+03,2.247e+05,2.341e+05
33.4,3.908e+02,2.185e+04,3.789e+05,4.011e+05
34.9,3.189e+02,9.766e+04,9.096e+05,1.008e+06
36.4,6.992e+02,3.334e+05,2.332e+06,2.666e+06
37.9,8.495e+02,5.258e+05,2.933e+06,3.459e+06
39.5,3.967e+02,5.617e+05,2.257e+06,2.819e+06
41.0,4.186e+02,5.424e+05,1.497e+06,2.040e+06
42.5,6.429e+02,5.119e+05,9.451e+05,1.458e+06
44.0,1.373e+03,4.893e+05,5.847e+05,1.075e+06
45.5,3.443e+03,4.886e+05,3.605e+05,8.526e+05
47.0,4.379e+03,4.932e+05,2.246e+05,7.223e+05
48.6,5.594e+03,5.068e+05,1.406e+05,6.530e+05
50.1,6.146e+03,6.266e+05,9.411e+04,7.269e+05
51.6,1.603e+04,9.753e+05,6.979e+04,1.061e+06
53.1,5.834e+04,1.619e+06,6.673e+04,1.744e+06
54.6,1.207e+05,1.847e+06,8.136e+04,2.049e+06
56.1,1.445e+05,1.539e+06,9.719e+04,1.781e+06
57.7,8.332e+04,1.124e+06,1.021e+05,1.310e+06
59.2,3.214e+04,8.130e+05,1.020e+05,9.472e+05
60.7,1.606e+04,6.272e+05,9.655e+04,7.399e+05
62.2,1.030e+04,5.112e+05,8.405e+04,6.056e+05
63.7,6.975e+03,4.265e+05,6.820e+04,5.017e+05
65.3,4.874e+03,3.624e+05,5.732e+04,4.246e+05
66.8,3.926e+03,2.976e+05,5.025e+04,3.518e+05
68.3,3.218e+03,2.414e+05,4.600e+04,2.906e+05
69.8,3.337e+03,1.982e+05,4.214e+04,2.437e+05
71.3,2.275e+03,1.656e+05,3.917e+04,2.071e+05
72.8,2.382e+03,1.349e+05,3.706e+04,1.743e+05
74.4,4.327e+03,1.083e+05,3.660e+04,1.492e+05
